id,class,available_hours,speed_per_hour
4552d622-0d1d-11e6-80e0-00505692e771,Компьютерные системы,,95
b439e9cb-8191-11e7-80d7-00155df02900,Источник бесперебойного питания,,90
405db965-dc53-11e8-80ee-00155df02900,Производственное оборудование,,75
788f7fd3-8ad0-11e8-80e5-00155df02900,Роботизированная станция,,80
72974414-8ad0-11e8-80e5-00155df02900,Электрод,,95
9a96fba6-29fe-11e5-80e7-96119de7fa63,Производственное оборудование,,90
4f6f1600-88a1-11e7-80d7-00155df02900,Производственное оборудование,,70
66a20812-8ad0-11e8-80e5-00155df02900,Микропланшетный ридер,,95
08a3dfcd-0b53-11e4-9b13-6ee664173b4c,Ламинар,,75
0bad52f0-289d-11e6-80e8-00505692e771,Холодильник,,80
7f5897c2-d44a-11e7-80e0-00155df02900,Пылесос,,75
36310774-8f22-11e7-80d8-00155df02900,Муфельная печь,,50
2b151b3a-2550-11e1-9589-b614f2bbba79,Станция растворения,,100
d528162c-2645-11e6-80e4-00505692e771,Производственное оборудование,,70
c692dd42-0ff0-11e8-80e0-00155df02900,Производственное оборудование,,70
89ecd229-8f22-11e7-80d8-00155df02900,Облучатель бактерицидный,,50
7e87bc35-8ad0-11e8-80e5-00155df02900,Станция растворения,,70
13eb082a-91e3-11e6-80fa-00505692e771,Производственное оборудование,,90
0ab22d36-26b2-11e8-80e1-00155df02900,Холодильник,,55
57230cea-4ad4-11e8-80e2-00155df02900,Производственное оборудование,,50
571665a3-a2bb-11de-a428-005056c00008,Инженерное оборудование,,70
8413c592-e400-11e7-80e0-00155df02900,Холодильник,,100
941b5d50-949c-11e7-80dc-00155df02900,Производственное оборудование,,100
1e440e6c-8f22-11e7-80d8-00155df02900,Камера для иммуноблоттинга,,65
10163afe-3008-11e3-a533-b614f2bbba79,Производственное оборудование,,95
0c568243-8f22-11e7-80d8-00155df02900,Весы,,75
ecb0eff5-a494-11e5-80d6-00505692e771,Хроматограф жидкостный,,85
cf8d767e-bafd-11e7-80e0-00155df02900,Производственное оборудование,,90
10d4aa48-7982-11e6-80f6-00505692e771,CO2-инкубатор,,50
e30427a9-c13d-11e6-80c1-e1497160343b,Инкубатор,,100
65ed2f61-db53-11e7-80e0-00155df02900,Вакуум-контроллер,,75
dbfe0b5c-b569-11e7-80e0-00155df02900,Магнитная мешалка,,65
5a0e4c9a-8f22-11e7-80d8-00155df02900,Вортекс,,65
e9866f4b-8f22-11e7-80d8-00155df02900,CO2-инкубатор,,55
0522936b-1cc8-11e6-80e2-00505692e771,Льдогенератор,,80
66a208c7-8ad0-11e8-80e5-00155df02900,Дозатор,,65
dd937c35-8f22-11e7-80d8-00155df02900,Ротор,,65
cd426260-c039-11e5-80d6-00505692e771,Стиральная машина,,85
cbaab27c-8f22-11e7-80d8-00155df02900,Шейкер,,95
1817ed26-0cb9-11e6-80e0-00505692e771,Термошейкер,,50
b98c7a99-2e39-11e6-80e8-00505692e771,Производственное оборудование,,80
2edfe898-e6bc-11e6-80d2-00155df02900,Амплификатор,,65
338c6368-cf39-11e2-8893-b614f2bbba79,Микроскоп,,70
7a3f5c13-a177-11e5-80d6-00505692e771,Льдогенератор,,95
6814bbfa-068b-11e4-9b13-6ee664173b4c,Производственное оборудование,,70
0396b96f-dbec-11e6-80cc-00155df02900,Морозильник,,100
df02b634-e5ba-11e4-80be-00505692e771,Производственное оборудование,,55
7c5fdfc8-d4ba-11e5-80d8-00505692e771,Система капиллярного электрофореза,,100
8d142af7-9d4d-11e7-80de-00155df02900,Производственное оборудование,,90
9b4d29a8-c02d-11e5-80d6-00505692e771,Ламинар,,90
29544745-dff3-11e7-80e0-00155df02900,Хроматограф жидкостный,,55
44e22e49-000b-11e7-80d2-00155df02900,Роботизированная станция,,100
3e89458d-27f6-11e6-80e4-00505692e771,Холодильник,,65
2ac62e60-78c6-11e5-80d0-00505692e771,Амплификатор,,80
9c9bc01e-9b54-11e6-80fa-00505692e771,Производственное оборудование,,55
fbc67f2f-38a5-11e8-80e1-00155df02900,Холодильник,,65
84e22fbb-72d4-11e8-80e5-00155df02900,Хроматограф жидкостный,,55
b1a710e7-7352-11e6-80f0-00505692e771,Ламинар,,90
ebd72350-5804-11e3-a533-b614f2bbba79,Производственное оборудование,,90
5f867443-c939-11e7-80e0-00155df02900,Криохранилище,,90
d904e1b7-f69e-11e6-80d2-00155df02900,Насос,,95
7c57688f-c9e6-11e7-80e0-00155df02900,Производственное оборудование,,85
13a7371e-bc27-11e8-80e9-00155df02900,Производственное оборудование,,90
bfba2c95-8f22-11e7-80d8-00155df02900,Производственное оборудование,,50
cc12f9d4-26f1-11e5-80c0-00505692e771,pH-метр,,50
577f0c7b-7101-11e6-80f0-00505692e771,Производственное оборудование,,50
cc0ab380-26b3-11e8-80e1-00155df02900,Инженерное оборудование,,85
3cf71584-939e-11e7-80da-00155df02900,pH-метр,,80
22b24e26-b212-11e6-80bb-825bcfbffb7d,Фильтродержатель,,50
fb7ef5ea-d57a-11e5-80d8-00505692e771,Производственное оборудование,,85
23680444-a39e-11e0-9449-3279b6ee2664,Инженерное оборудование,,85
eb8f8292-e6bc-11e6-80d2-00155df02900,Амплификатор,,80
2155ef74-8a13-11e6-80f6-00505692e771,Инженерное оборудование,,55
d1a2f51d-8f22-11e7-80d8-00155df02900,Источник бесперебойного питания,,100
ecf665ac-fa9b-11e7-80e0-00155df02900,Инженерное оборудование,,95
3c2ba4fd-8f22-11e7-80d8-00155df02900,Инкубатор,,100
c197dc7c-1bd9-11e4-9ec4-6ee664173b4c,Система капиллярного электрофореза,,100
01125981-a2ba-11de-a428-005056c00008,Инженерное оборудование,,75
00c5b50c-1ea9-11e6-80e4-00505692e771,CO2-инкубатор,,90
4e1b7638-8f22-11e7-80d8-00155df02900,Система капиллярного электрофореза,,55
df838a12-2c11-11e8-80e1-00155df02900,Передаточное окно,,80
f30dea07-bdd1-11e5-80d6-00505692e771,Холодильник,,65
0c568221-8f22-11e7-80d8-00155df02900,Термометр,,90
6877079b-93ae-11e7-80da-00155df02900,Спектрофотометр,,90
a7cad515-8f22-11e7-80d8-00155df02900,Весы,,70
25bbf5e7-9481-11e7-80dc-00155df02900,Принтер для этикеток,,85
9bd7f073-8f22-11e7-80d8-00155df02900,Камера для электрофореза,,90
0a83f7c7-e401-11e7-80e0-00155df02900,Холодильник,,85
e862c242-d479-11e5-80d8-00505692e771,Автоматическая станция растворения,,50
7596f724-c038-11e6-80c1-e1497160343b,Масс-спектрометр,,70
ab9709a8-ba37-11e7-80e0-00155df02900,Сушильный шкаф,,100
a896e37e-e5b4-11e4-80be-00505692e771,Климатическая камера,,75
111e9ba1-8aa2-11e4-80be-00505692e771,Хроматограф жидкостный,,75
3c2ba537-8f22-11e7-80d8-00155df02900,Термостат твердотельный,,75
e9531f95-bb82-11e6-80be-b5eea29936c1,Производственное оборудование,,75
0a6111c9-a179-11e5-80d6-00505692e771,Манометр,,75
ab841fb3-3472-11e6-80e8-00505692e771,Насос,,100
7e87bbd8-8ad0-11e8-80e5-00155df02900,Вортекс,,100
95dd4ea7-8f22-11e7-80d8-00155df02900,Льдогенератор,,50
4a2d360d-a6df-11e4-80be-00505692e771,Производственное оборудование,,65
04d2e1ce-9e2a-11e7-80de-00155df02900,Производственное оборудование,,75
9b582632-3f6b-11e6-80e8-00505692e771,Производственное оборудование,,65
a673db9c-6a8a-11e6-80e8-00505692e771,Шейкер-CO2-инкубатор,,100
59de4681-84f1-11e8-80e5-00155df02900,Производственное оборудование,,75
6e1b992d-aa15-11e5-80d6-00505692e771,Вытяжной шкаф,,65
2a7c1dc2-0b96-11e6-80e0-00505692e771,Производственное оборудование,,90
3a1d0046-8a49-11e3-8527-b614f2bbba79,Производственное оборудование,,70
0c56828d-8f22-11e7-80d8-00155df02900,Весы,,90
e4fa5335-b862-11e1-b482-b614f2bbba79,НЕ ИСПОЛЬЗОВАТЬ Лабораторное оборудование,,80
3a232bab-7127-11e7-80d6-00155df02900,Дозатор,,95
1ddb1dad-f4ee-11e6-80d2-00155df02900,Система капиллярного электрофореза,,70
5e890476-01b9-11e8-80e0-00155df02900,Весы,,90
42b64852-d250-11e5-80d8-00505692e771,Климатическая камера,,80
fe6bb99c-6d41-11e7-80d6-00155df02900,Ламинар,,90
ff7bcd23-91ef-11e2-aacb-b614f2bbba79,Хроматограф жидкостный,,65
5416107b-8f22-11e7-80d8-00155df02900,Морозильник,,65
fae09d1a-53cd-11e6-80e8-00505692e771,Хроматограф жидкостный,,55
10333a95-2339-11e7-80d6-00155df02900,Насос,,65
a29fe214-d8aa-11e2-8893-b614f2bbba79,Шейкер-CO2-инкубатор,,90
8fb98298-c089-11e7-80e0-00155df02900,Амплификатор,,85
4d4225a0-69ca-11e6-80e8-00505692e771,Система тангенциальной фильтрации,,50
600b4ce3-8f22-11e7-80d8-00155df02900,Инженерное оборудование,,80
c008eb7b-0c29-11e4-9b13-6ee664173b4c,Хроматограф жидкостный,,55
d13c5676-95f1-11e6-80fa-00505692e771,Производственное оборудование,,90
4e1b75b8-8f22-11e7-80d8-00155df02900,Инженерное оборудование,,50
a8fe354f-d7e1-11e2-8893-b614f2bbba79,Вытяжной шкаф,,95
2368041b-a39e-11e0-9449-3279b6ee2664,Производственное оборудование,,75
f8d4d50b-ffe3-11e5-80de-00505692e771,Криохранилище,,50
1ef6e6f1-0c0f-11e4-9b13-6ee664173b4c,Осмометр,,70
405db944-dc53-11e8-80ee-00155df02900,Производственное оборудование,,95
1cfc2576-08a4-11e3-a533-b614f2bbba79,Производственное оборудование,,65
dd937bf7-8f22-11e7-80d8-00155df02900,Вортекс,,55
2a3e1e73-8f22-11e7-80d8-00155df02900,Рециркулятор,,65
3f22ea67-296f-11e5-80c0-00505692e771,Холодильник,,50
f21187c0-5036-11e7-80d6-00155df02900,Морозильник,,95
1e440e40-8f22-11e7-80d8-00155df02900,Центрифуга,,70
95181759-a589-11e5-80d6-00505692e771,Производственное оборудование,,80
6834c3e4-60ac-11e7-80d6-00155df02900,Установка тангенциальной фильтрации,,85
86f2030b-ae64-11e7-80de-00155df02900,Амплификатор,,95
d526de74-1a21-11e9-80ee-00155df02900,Производственное оборудование,,80
ece9ad48-c02f-11e5-80d6-00505692e771,Ламинар,,100
d966cda4-9e21-11e7-80de-00155df02900,Производственное оборудование,,70
89c2b17b-2e45-11e6-80e8-00505692e771,Хроматограф газовый,,80
75015956-90a1-11df-a945-72d93bfbea9b,Ламинар,,85
5716650f-a2bb-11de-a428-005056c00008,Хроматограф жидкостный,,50
5a0e4c86-8f22-11e7-80d8-00155df02900,Весы,,75
a933f439-a175-11e5-80d6-00505692e771,Вакуумный концентратор,,75
dbfe0b5e-b569-11e7-80e0-00155df02900,Магнитная мешалка,,65
195b052e-a193-11e5-80d6-00505692e771,Верхнеприводная мешалка,,80
3631079c-8f22-11e7-80d8-00155df02900,Холодильник,,55
a1d29493-8f22-11e7-80d8-00155df02900,НЕ ИСПОЛЬЗОВАТЬ Лабораторное оборудование,,70
4cc2a4f8-41e7-11e7-80d6-00155df02900,Термошейкер,,50
3625264f-231e-11e6-80e4-00505692e771,Роботизированная станция,,90
280cb8e3-30cf-11e3-a533-b614f2bbba79,Производственное оборудование,,80
7a34d140-0697-11e4-9b13-6ee664173b4c,Производственное оборудование,,65
17505193-c5d4-11e6-80c6-00155df02900,Манипулятор переносящий,,50
13c7109f-5364-11e3-a533-b614f2bbba79,Шейкер-CO2-инкубатор,,65
7a257c72-bb90-11e5-80d6-00505692e771,ПЦР-бокс,,95
57166574-a2bb-11de-a428-005056c00008,Производственное оборудование,,100
d542e7c7-5712-11e6-80e8-00505692e771,Шейкер,,95
571665a4-a2bb-11de-a428-005056c00008,Инженерное оборудование,,100
beb87b2c-c2ce-11e6-80ba-eeb16abacdb0,Автоклав,,90
46318c09-478f-11df-8654-72d93bfbea9b,Производственное оборудование,,75
9e9f3337-6e68-11e4-80be-00505692e771,Шейкер-CO2-инкубатор,,55
81bfc131-bfd3-11e7-80e0-00155df02900,Амплификатор,,80
c42cbae0-c8de-11e5-80d6-00505692e771,Процессор магнитных частиц,,80
e38e2190-8f22-11e7-80d8-00155df02900,Морозильник,,70
a258ef6a-dfdf-11e7-80e0-00155df02900,Станция для фиксации тканей,,100
571664fc-a2bb-11de-a428-005056c00008,pH-метр,,90
9f213291-0de8-11e2-b482-b614f2bbba79,Центрифуга,,100
5716659e-a2bb-11de-a428-005056c00008,Инженерное оборудование,,85
60a9ccfc-8ad0-11e8-80e5-00155df02900,Хроматограф жидкостный,,50
c5b26ed7-8f22-11e7-80d8-00155df02900,Производственное оборудование,,100
ed856854-c649-11e3-8903-6ee664173b4c,Вакуумный концентратор,,70
4b002ba0-ea2c-11e3-8150-6ee664173b4c,Счетчик клеток,,70
501a7465-a910-11e7-80de-00155df02900,Система очистки воды,,95
0c56822b-8f22-11e7-80d8-00155df02900,Магнитная мешалка,,75
95dd4dfb-8f22-11e7-80d8-00155df02900,Аспиратор,,70
77fa8d7f-8f22-11e7-80d8-00155df02900,Магнитная мешалка,,85
14564d2a-7b46-11e6-80f6-00505692e771,Амплификатор,,55
6c9ca6c4-8ad0-11e8-80e5-00155df02900,Дозатор,,70
ab49471f-1bd9-11e4-9ec4-6ee664173b4c,Система капиллярного электрофореза,,65
ad5ca87d-a1be-11e7-80de-00155df02900,Ламинар,,95
919d04f2-bb8f-11e5-80d6-00505692e771,pH-метр,,55
30d45a5c-fe6d-11e6-80d2-00155df02900,Дозатор,,70
8c9361f3-b8a2-11e7-80e0-00155df02900,pH-метр,,100
1a7d8afb-0a55-11e8-80e0-00155df02900,Источник бесперебойного питания,,95
63058017-c06b-11e7-80e0-00155df02900,Инженерное оборудование,,75
5950dad2-58e5-11e3-b559-b614f2bbba79,Ламинар,,50
95dd4e21-8f22-11e7-80d8-00155df02900,ПЦР-бокс,,100
42b5beb2-2550-11e1-9589-b614f2bbba79,Станция растворения,,50
8bce91e9-914e-11e2-aacb-b614f2bbba79,Производственное оборудование,,95
48cafc24-ab6e-11e8-80e6-00155df02900,Лабораторная мебель,,70
405db8c0-dc53-11e8-80ee-00155df02900,Производственное оборудование,,85
cbaab28e-8f22-11e7-80d8-00155df02900,Шейкер,,65
303661cf-8f22-11e7-80d8-00155df02900,Производственное оборудование,,80
385582b3-7d9f-11e7-80d7-00155df02900,Дозатор,,80
280cb8eb-30cf-11e3-a533-b614f2bbba79,Производственное оборудование,,65
541fd0f1-293f-11e5-80c0-00505692e771,Хроматограф жидкостный,,100
dd937c11-8f22-11e7-80d8-00155df02900,Компрессор,,85
a08b5c7b-0bf6-11e8-80e0-00155df02900,Светильник,,90
c5b26f37-8f22-11e7-80d8-00155df02900,Производственное оборудование,,70
a2c96f5e-cc0b-11e5-80d6-00505692e771,Центрифуга,,90
90b4c5ad-c039-11e5-80d6-00505692e771,Мутномер,,80
1251251a-8f22-11e7-80d8-00155df02900,Термостат,,80
6c02ecf5-8f22-11e7-80d8-00155df02900,Инженерное оборудование,,55
ed11e5ac-ef17-11e0-9589-b614f2bbba79,Тележка,,90
055e6659-b576-11e7-80e0-00155df02900,Изолятор,,55
207a4bfa-fd24-11e7-80e0-00155df02900,Хроматограф жидкостный,,90
4984bc40-6751-11e1-a97d-b614f2bbba79,Ламинар,,65
236fcf5b-d5ab-11e6-80c8-00155df02900,Ротор,,100
48fc0d23-26dd-11e5-80c0-00505692e771,Амплификатор,,70
ded716d5-c6b7-11e6-80c6-00155df02900,Спектрофотометр,,70
6fe78324-f8d7-11e1-b482-b614f2bbba79,Источник бесперебойного питания,,65
95328385-cabd-11e3-8903-6ee664173b4c,Производственное оборудование,,65
ea05617e-0820-11e4-9b13-6ee664173b4c,Микроскоп,,85
b9bd2386-8f22-11e7-80d8-00155df02900,Облучатель бактерицидный,,80
de4f03e9-d843-11e0-a18e-b614f2bbba79,Инженерное оборудование,,95
dec285ef-bb91-11e5-80d6-00505692e771,Автоклав,,90
14b5be4a-aa29-11e5-80d6-00505692e771,Насос,,95
a4379ed1-30d7-11e3-a533-b614f2bbba79,Производственное оборудование,,70
541610ad-8f22-11e7-80d8-00155df02900,Водяная баня,,95
b5dcb481-60d0-11e8-80e5-00155df02900,НЕ ИСПОЛЬЗОВАТЬ Лабораторное оборудование,,70
b341cbf6-0c4d-11e6-80e0-00505692e771,Центрифуга,,65
03552831-f43a-11e6-80d2-00155df02900,Система капиллярного электрофореза,,75
3b5d194b-7b7e-11e8-80e5-00155df02900,Изолятор,,85
e38e21fe-8f22-11e7-80d8-00155df02900,Анализатор иммуноферментный,,80
27afc3e6-db38-11e6-80cc-00155df02900,Морозильник,,65
fccb4491-6966-11e3-9a29-b614f2bbba79,Производственное оборудование,,95
aec1d123-d3ed-11e5-80d8-00505692e771,Диспенсер,,100
571664fb-a2bb-11de-a428-005056c00008,Центрифуга,,50
4223db43-8f22-11e7-80d8-00155df02900,Компрессор,,85
de2b8799-d6a0-11e7-80e0-00155df02900,Микроскоп,,75
e941aa98-d487-11e5-80d8-00505692e771,Хроматограф жидкостный,,95
6dd4bcf3-be7a-11e5-80d6-00505692e771,Инкубатор,,80
c63fde08-bdd1-11e5-80d6-00505692e771,Холодильник,,70
7297444e-8ad0-11e8-80e5-00155df02900,Дозатор,,85
863ffc9b-bf12-11e7-80e0-00155df02900,Биореактор,,100
d5c45316-d10c-11df-b9ac-3279b6ee2664,Инженерное оборудование,,90
b691c7d7-b321-11e7-80de-00155df02900,Производственное оборудование,,100
95dd4e1f-8f22-11e7-80d8-00155df02900,Амплификатор,,55
8fe511cf-8f22-11e7-80d8-00155df02900,Компьютерные системы,,75
199206b8-db39-11e7-80e0-00155df02900,Диспенсер,,100
3d97950d-acc3-11e6-80fa-00505692e771,Производственное оборудование,,95
b3c01ade-8f22-11e7-80d8-00155df02900,Холодильник,,85
cde59771-9a90-11e6-80fa-00505692e771,Холодильник,,65
5716659c-a2bb-11de-a428-005056c00008,Инженерное оборудование,,50
405db8ac-dc53-11e8-80ee-00155df02900,Производственное оборудование,,80
0dc3467c-2c3c-11e8-80e1-00155df02900,Центрифуга,,65
a8f0dcb4-af1e-11e7-80de-00155df02900,Магнитная мешалка,,80
fdff84f0-5598-11e3-a533-b614f2bbba79,Производственное оборудование,,80
9a942449-f802-11e6-80d2-00155df02900,Хроматограф жидкостный,,80
c6ee32e8-abaf-11e1-818a-b614f2bbba79,Станция растворения,,70
405db94f-dc53-11e8-80ee-00155df02900,Производственное оборудование,,95
16d40983-3e3f-11e8-80e1-00155df02900,Спектрофотометр,,50
3644a637-f770-11e7-80e0-00155df02900,Холодильник,,90
a87b2484-9467-11e7-80dc-00155df02900,Спектрофотометр,,50
24ae7061-b61e-11e6-80bb-825bcfbffb7d,Хроматограф жидкостный,,90
57166531-a2bb-11de-a428-005056c00008,Гомогенизатор,,75
369e24c7-ae22-11e5-80d6-00505692e771,Проточный цитофлуориметр,,95
46e3d3a6-cab8-11e3-8903-6ee664173b4c,Анализатор общего углерода,,95
5d08c892-ea32-11e7-80e0-00155df02900,Магнитная мешалка,,70
3d793bdb-90fa-11e1-818a-b614f2bbba79,Морозильник,,80
3c2ba57b-8f22-11e7-80d8-00155df02900,Хроматограф жидкостный,,65
b36e7e90-74e5-11e6-80f0-00505692e771,Хроматограф жидкостный,,80
f31ff6fd-a5a9-11e6-80fa-00505692e771,Производственное оборудование,,65
a3740fde-d4be-11e5-80d8-00505692e771,Проточный цитофлуориметр,,90
1e440e98-8f22-11e7-80d8-00155df02900,Аспиратор,,55
72974411-8ad0-11e8-80e5-00155df02900,Микропланшетный ридер,,95
3baf9de2-d991-11e2-8893-b614f2bbba79,Система капиллярного электрофореза,,50
5416102f-8f22-11e7-80d8-00155df02900,Система капиллярного электрофореза,,75
8f1878fe-f802-11e6-80d2-00155df02900,Хроматограф жидкостный,,70
3acc1b84-1b98-11e8-80e0-00155df02900,Производственное оборудование,,55
e0395064-a789-11e8-80e6-00155df02900,Производственное оборудование,,80
6c9ca65e-8ad0-11e8-80e5-00155df02900,Система фильтрации воздуха,,75
3631078c-8f22-11e7-80d8-00155df02900,Сухожаровой шкаф,,100
3baf9ddd-d991-11e2-8893-b614f2bbba79,Амплификатор,,90
57166565-a2bb-11de-a428-005056c00008,Производственное оборудование,,80
00502eec-38a9-11e8-80e1-00155df02900,Амплификатор,,95
4223db61-8f22-11e7-80d8-00155df02900,Компьютерные системы,,70
3dfd059e-939f-11e7-80da-00155df02900,Центрифуга,,85
95dd4e97-8f22-11e7-80d8-00155df02900,Термостат,,50
309965c5-fd24-11e7-80e0-00155df02900,Хроматограф жидкостный,,90
e2114fe1-5354-11df-8654-72d93bfbea9b,Производственное оборудование,,90
0e321ead-6e68-11e4-80be-00505692e771,Сухожаровой шкаф,,65
abef536d-4f97-11e8-80e2-00155df02900,Хроматограф жидкостный,,95
dd0684aa-551f-11e4-80b9-00505692e771,Морозильник,,75
989f48ce-7a48-11e5-80d0-00505692e771,Хроматограф жидкостный,,100
ea846cca-a594-11e4-80be-00505692e771,Производственное оборудование,,70
9f3293a9-99b9-11e6-80fa-00505692e771,Производственное оборудование,,55
087e8356-2b51-11e7-80d6-00155df02900,Термостат твердотельный,,65
1e440e50-8f22-11e7-80d8-00155df02900,Магнитная мешалка,,80
e9866f71-8f22-11e7-80d8-00155df02900,Вентиляционный блок,,90
211f2bdd-296c-11e5-80c0-00505692e771,Амплификатор,,55
59a9ab5e-d72d-11e6-80c8-00155df02900,Производственное оборудование,,100
6c9ca60a-8ad0-11e8-80e5-00155df02900,Дозатор,,80
2a25323c-c62a-11e3-8903-6ee664173b4c,Хроматограф жидкостный,,100
1e440e8e-8f22-11e7-80d8-00155df02900,Шейкер,,100
571665a1-a2bb-11de-a428-005056c00008,Инженерное оборудование,,80
dd96c7db-a621-11e0-9449-3279b6ee2664,Инженерное оборудование,,100
a12e8784-485b-11e3-a533-b614f2bbba79,Хроматограф жидкостный,,65
c651c127-c6e5-11e3-8903-6ee664173b4c,Производственное оборудование,,85
10b95477-71da-11e7-80d6-00155df02900,Производственное оборудование,,90
64a2f0f6-bf49-11e5-80d6-00505692e771,Автоклав,,75
4f2e22d2-a105-11e6-80fa-00505692e771,Хроматограф жидкостный,,95
e78653b9-36c3-11e6-80e8-00505692e771,Сухожаровой шкаф,,55
0e2dc969-de6c-11e8-80ee-00155df02900,Автоклав,,90
be33ddb2-0430-11e9-80ee-00155df02900,Производственное оборудование,,90
6c897ec8-6b1f-11e4-80be-00505692e771,Принтер для этикеток,,75
480668e4-c37f-11e6-80c1-e1497160343b,CO2-инкубатор,,65
e2114fdf-5354-11df-8654-72d93bfbea9b,Производственное оборудование,,90
4223db35-8f22-11e7-80d8-00155df02900,Камера для электрофореза,,80
40b0a687-575b-11e8-80e2-00155df02900,Производственное оборудование,,100
ddcd40b0-6cb9-11e5-80d0-00505692e771,Весы,,100
9b476fad-30ad-11e3-a533-b614f2bbba79,Производственное оборудование,,65
d3c720d1-22e9-11e4-9ec4-6ee664173b4c,Производственное оборудование,,90
d1a2f5c7-8f22-11e7-80d8-00155df02900,Весы,,55
983257f2-e1c5-11e8-80ee-00155df02900,Производственное оборудование,,65
224e1103-a89f-11e1-818a-b614f2bbba79,Водяная баня,,75
67fb42a4-8cac-11e7-80d7-00155df02900,Весы,,80
bf44289f-7b08-11e6-80f6-00505692e771,Льдогенератор,,90
66a207ca-8ad0-11e8-80e5-00155df02900,Дозатор,,65
60a9cd01-8ad0-11e8-80e5-00155df02900,Амплификатор,,55
7df2cbbf-8f22-11e7-80d8-00155df02900,Инженерное оборудование,,95
6c9ca6ea-8ad0-11e8-80e5-00155df02900,Дозатор,,100
fa16bacd-dfea-11e7-80e0-00155df02900,Сушильный шкаф,,65
6c9ca5c0-8ad0-11e8-80e5-00155df02900,Дозатор,,90
ea94c292-2c2b-11e8-80e1-00155df02900,Ламинар,,55
363107fe-8f22-11e7-80d8-00155df02900,Инкубатор,,80
68f90fe0-9e2c-11e7-80de-00155df02900,Производственное оборудование,,80
1d06168f-d3e0-11e5-80d8-00505692e771,Реактор,,65
fb6b5ab6-8050-11e0-9449-3279b6ee2664,Роботизированная станция,,85
23680442-a39e-11e0-9449-3279b6ee2664,Инженерное оборудование,,85
57166539-a2bb-11de-a428-005056c00008,Термостат,,90
5cefb08d-7132-11e7-80d6-00155df02900,Калориметр,,85
7e87bc69-8ad0-11e8-80e5-00155df02900,Дозатор,,100
58bd06d7-119e-11e1-9589-b614f2bbba79,Инженерное оборудование,,50
8f43ddd0-cfac-11e8-80e9-00155df02900,Термостат рециркуляционный,,100
d84ffcbb-0cb7-11e6-80e0-00505692e771,Водяная баня,,70
7e87bcb1-8ad0-11e8-80e5-00155df02900,Дозатор,,95
405db8fb-dc53-11e8-80ee-00155df02900,Производственное оборудование,,65
8810c1cc-ff6b-11e7-80e0-00155df02900,Хроматограф газовый,,70
20dad035-1a07-11e3-a533-b614f2bbba79,Сушильный шкаф,,80
60a9cbf3-8ad0-11e8-80e5-00155df02900,Дозатор,,85
ce13d86f-4d02-11e6-80e8-00505692e771,Термостат твердотельный,,50
106487ae-b8ce-11e7-80e0-00155df02900,Производственное оборудование,,85
66a207ea-8ad0-11e8-80e5-00155df02900,Дозатор,,65
